,Mkt-RF,SMB,HML,RMW,CMA,RF,
1981-04-01,3.56,3.07,0.69,-2.34,-0.53,1.21,
1981-05-01,-2.11,4.6,2.29,0.82,1.2,1.08,
1981-06-01,0.11,2.45,-0.47,0.33,-1.6,1.15,
1981-07-01,-2.36,-0.96,5.1,-1.35,2.68,1.35,
1981-08-01,-1.54,-1.97,-0.68,1.08,-3.04,1.24,
1981-09-01,-7.04,-1.81,4.84,-0.25,1.46,1.28,
1981-10-01,-7.17,-2.5,5.2,-0.02,2.79,1.24,
1981-11-01,4.92,2.24,-4.22,3.29,-2.76,1.21,
1981-12-01,3.36,-1.38,1.89,0.1,0.63,1.07,
1982-01-01,-3.65,1.19,0.75,0.19,2.41,0.87,
1982-02-01,-3.24,-1.18,3.19,-1.52,2.08,0.8,
1982-03-01,-5.86,0.36,6.1,-3.38,4.57,0.92,
1982-04-01,-1.87,0,3.79,-1.44,2.37,0.98,
1982-05-01,3.27,1.15,-2.77,1.51,-0.15,1.13,
1982-06-01,-3.99,0.56,1.8,0.91,-0.09,1.06,
1982-07-01,-3.09,-0.51,1.54,0.03,2.72,0.96,
1982-08-01,-3.19,0.95,0.12,1.03,1.54,1.05,
1982-09-01,11.14,-4.29,1,-1.96,0.18,0.76,
1982-10-01,1.29,2.58,0.33,2.12,-0.04,0.51,
1982-11-01,11.3,1.92,-3.73,0.3,-0.37,0.59,
1982-12-01,4.67,4.53,-1.89,-1.05,0.32,0.63,
1983-01-01,0.55,-0.01,-0.03,-0.07,1.03,0.67,
1983-02-01,3.6,3.28,-0.81,-1.5,-0.46,0.69,
1983-03-01,2.59,2.91,0.7,-0.57,1.02,0.62,
1983-04-01,2.82,1.41,2.05,-0.07,2.81,0.63,
1983-05-01,6.67,0.48,0.56,-0.16,1.6,0.71,
1983-06-01,0.52,6.22,-1.42,-1.85,-1.53,0.69,
1983-07-01,3.07,1.15,-3.93,2.52,-0.89,0.67,
1983-08-01,-4.07,0.98,5.61,-0.03,2.84,0.74,
1983-09-01,-0.5,-4.34,5.56,0.45,1.95,0.76,
1983-10-01,0.91,0.25,1.08,1.21,0.59,0.76,
1983-11-01,-3.44,-3.82,5.07,-0.81,2.97,0.76,
1983-12-01,2.16,1.88,-0.64,-0.48,0.64,0.7,
1984-01-01,-1.78,-0.47,1.68,1.59,1.21,0.73,
1984-02-01,-1.92,-0.07,7.62,-0.93,3,0.76,
1984-03-01,-4.82,-1.62,3.36,0.82,1.57,0.71,
1984-04-01,0.63,-0.28,0.51,-0.93,1.09,0.73,
1984-05-01,-0.51,-1.02,1.27,3.27,0.76,0.81,
1984-06-01,-5.97,0.08,0.26,2.32,-0.5,0.78,
1984-07-01,1.82,0.07,-2.62,3.08,-1.51,0.75,
1984-08-01,-2.74,-2.22,0.48,3.69,-2.17,0.82,
1984-09-01,10.28,-0.3,-1.82,-0.89,-0.81,0.83,
1984-10-01,-0.8,0,5.32,1.4,2.53,0.86,
1984-11-01,-0.84,-1.43,0.51,1.17,-1.16,1,
1984-12-01,-1.76,-0.98,4.08,0.81,2.08,0.73,
1985-01-01,1.84,-0.69,-0.2,1.21,-1.26,0.64,
1985-02-01,7.99,3.5,-5.41,-0.83,-3.36,0.65,
1985-03-01,1.22,1,-0.13,1.26,1.03,0.58,
1985-04-01,-0.84,-1.48,4.1,1.18,2.94,0.62,
1985-05-01,-0.96,-0.1,3.72,1.59,0.71,0.72,
1985-06-01,5.09,-2.33,-0.92,1.3,-1.39,0.66,
1985-07-01,1.27,0.35,0.5,1.69,-0.59,0.55,
1985-08-01,-0.74,2.89,-1.68,-0.45,-0.31,0.62,
1985-09-01,-1.02,-0.32,2.32,-0.04,1.88,0.55,
1985-10-01,-4.54,-1.81,1.31,1.16,1.61,0.6,
1985-11-01,4.02,-1.55,0.78,0.92,-1.11,0.65,
1985-12-01,6.48,0,-2.88,0.29,-2.33,0.61,
1986-01-01,3.88,-0.39,-1.52,0.97,-1.8,0.65,
1986-02-01,0.65,1.01,0.52,-2.02,-2.05,0.56,
1986-03-01,7.13,-0.75,-0.85,1.15,-1.39,0.53,
1986-04-01,4.88,-0.57,-0.44,1.12,0.99,0.6,
1986-05-01,-1.31,2.92,-2.86,2.91,0.02,0.52,
1986-06-01,4.62,-1.26,-0.14,2.08,1.11,0.49,
1986-07-01,1.03,-0.88,1.36,1.83,0.87,0.52,
